Tello: 17:18:33.934:  Info: start video thread
Tello: 17:18:33.935:  Info: send connection request (cmd="conn_req:9617")
Tello: 17:18:33.935:  Info: video receive buffer size = 425984
Tello: 17:18:33.935:  Info: state transit State::disconnected -> State::connecting
Tello: 17:18:33.956:  Info: connected. (port=9617)
Tello: 17:18:33.956:  Info: send_time (cmd=0x46 seq=0x01e4)
Tello: 17:18:33.956:  Info: state transit State::connecting -> State::connected
Tello: 17:18:33.957:  Info: get video stream
Tello: 17:18:33.957:  Info: start video (cmd=0x25 seq=0x01e4)
Tello: 17:18:34.008:  Info: recv: ack: cmd=0x34 seq=0x0000 cc 60 00 27 90 34 00 00 00 00 72 a5
Tello: 17:18:34.008:  Info: recv: ack: cmd=0x20 seq=0x0000 cc 60 00 27 b0 20 00 00 00 00 42 b9
Tello: 17:18:34.008:  Info: recv: ack: cmd=0x34 seq=0x0000 cc 60 00 27 90 34 00 00 00 00 72 a5
Tello: 17:18:34.009:  Info: recv: ack: cmd=0x20 seq=0x0000 cc 60 00 27 b0 20 00 00 00 00 42 b9
Tello: 17:18:36.947:  Info: video data 927109 bytes 450.2KB/sec loss=71
Tello: 17:18:38.948:  Info: video data 751127 bytes 366.7KB/sec
Tello: 17:18:40.949:  Info: video data 757056 bytes 369.4KB/sec
Tello: 17:18:42.949:  Info: video data 751078 bytes 366.6KB/sec
Tello: 17:18:44.146:  Info: set altitude limit 30m
Tello: 17:18:44.146:  Info: takeoff (cmd=0x54 seq=0x01e4)
Tello: 17:18:44.162:  Info: recv: ack: cmd=0x54 seq=0x0000 cc 60 00 27 b0 54 00 00 00 00 a1 81
ALT:  0 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT:  0 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD: -2 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
Tello: 17:18:44.959:  Info: video data 744821 bytes 362.0KB/sec
ALT:  0 | SPD: -5 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  1 | SPD: -8 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  2 | SPD: -9 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  3 | SPD: -10 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  4 | SPD: -10 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  5 | SPD: -10 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  6 | SPD: -9 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  6 | SPD: -8 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  7 | SPD: -7 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  8 | SPD: -6 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  8 | SPD: -5 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  9 | SPD: -3 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  9 | SPD: -3 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE: 11
