Tello: 17:46:49.822:  Info: start video thread
Tello: 17:46:49.822:  Info: video receive buffer size = 425984
Tello: 17:46:49.822:  Info: send connection request (cmd="conn_req:9617")
Tello: 17:46:49.822:  Info: state transit State::disconnected -> State::connecting
Tello: 17:46:49.876:  Info: connected. (port=9617)
Tello: 17:46:49.876:  Info: send_time (cmd=0x46 seq=0x01e4)
Tello: 17:46:49.876:  Info: state transit State::connecting -> State::connected
Tello: 17:46:49.877:  Info: get video stream
Tello: 17:46:49.877:  Info: start video (cmd=0x25 seq=0x01e4)
Tello: 17:46:49.996:  Info: recv: ack: cmd=0x34 seq=0x0000 cc 60 00 27 90 34 00 00 00 00 72 a5
Tello: 17:46:49.997:  Info: recv: ack: cmd=0x20 seq=0x0000 cc 60 00 27 b0 20 00 00 00 00 42 b9
Tello: 17:46:49.997:  Info: recv: ack: cmd=0x34 seq=0x0000 cc 60 00 27 90 34 00 00 00 00 72 a5
Tello: 17:46:49.998:  Info: recv: ack: cmd=0x20 seq=0x0000 cc 60 00 27 b0 20 00 00 00 00 42 b9
Tello: 17:46:52.844:  Info: video data 926060 bytes 447.5KB/sec loss=79
Tello: 17:46:54.846:  Info: video data 752436 bytes 367.1KB/sec
Tello: 17:46:56.846:  Info: video data 751073 bytes 366.7KB/sec
Tello: 17:46:58.848:  Info: video data 754060 bytes 367.9KB/sec
Tello: 17:47:00.017:  Info: set altitude limit 30m
Tello: 17:47:00.017:  Info: takeoff (cmd=0x54 seq=0x01e4)
Tello: 17:47:00.018:  Info: up(val=1)
ALT:  0 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
Tello: 17:47:00.030:  Info: recv: ack: cmd=0x54 seq=0x0000 cc 60 00 27 b0 54 00 00 00 00 a1 81
ALT:  0 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD: -3 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
Tello: 17:47:00.858:  Info: video data 745207 bytes 361.9KB/sec
ALT:  0 | SPD: -6 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  1 | SPD: -8 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  2 | SPD: -9 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  3 | SPD: -10 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  4 | SPD: -10 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  5 | SPD: -10 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  5 | SPD: -9 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  6 | SPD: -8 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  7 | SPD: -7 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  8 | SPD: -5 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  8 | SPD: -4 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  9 | SPD: -3 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  9 | SPD: -2 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  9 | SPD: -1 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
Tello: 17:47:02.881:  Info: video data 763756 bytes 368.8KB/sec
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
Tello: 17:47:04.886:  Info: video data 755888 bytes 368.1KB/sec
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 44 | WIFI: 90 | CAM:  0 | MODE:  6
